Country Name,country_code,Indicator Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,BRN,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,20.54134755,-5.460847144,-18.2270123,11.74888365,5.106680785,-0.569825438,-8.962385362,-11.17010213,-4.132499442,4.331025432,-6.382603351,35.4151176,-9.588180213,-12.21537999,4.229749245,8.562908315,7.484658302,28.05387732
Bhutan,BTN,Real interest rate (%),-2.63,2.5,7.188979135,7.317805758,4.390113493,7.972486848,7.290693819,13.74744422,0.03055558,8.893352914,8.280794394,5.5614505,7.415044793,7.820734827,3.776064497,7.125327808,7.295509304,2.739536582,4.791248096,9.258469599,8.057557546,9.961572273,10.21726058,11.76074972,10.89152994,8.118035159,8.139015731,10.72966446,7.907932153,8.585369231,7.616463931,5.059151928,4.414795204,7.714809555,6.644196796,10.94929141
Botswana,BWA,Real interest rate (%),-1.556654989,9.721909504,19.78189131,4.257201654,-2.968963509,-9.271153195,-2.683864921,-2.390604785,-12.11416662,-5.263682316,1.481638236,6.327978893,6.902446472,1.637970358,4.067885118,6.776493721,-1.388480661,8.530342212,3.349689746,0.473255913,1.145825257,6.866384387,14.844701,12.7261594,5.151956567,0.230180572,8.360417366,10.7573147,11.27885193,6.850390937,2.330454804,-2.595759146,10.78530479,7.702233118,1.113947748,3.981898689
Central African Republic,CAF,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Canada,CAN,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,5.665420616,3.265859372,2.559425951,3.692988413,3.336705042,3.389065338,1.51850843,3.012414507,4.696743348,7.564107052,0.716869844,4.818745226,-0.238969292,-0.227403088,1.76667185,1.240990437,1.035269466,3.684015959
Central Europe and the Baltics,CEB,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Switzerland,CHE,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,1.848585115,2.323401262,2.390806393,2.752100657,2.692199759,2.71310753,3.299836835,3.932377783
Channel Islands,CHI,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Chile,CHL,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,-1.211433268,4.037911919,5.416926307,-0.414447087,19.56212916,21.5546992,5.91842611,9.259425194,10.860314,5.133201704,5.801214298,13.54001218,12.23407141,18.92961527,10.1131851,10.13845361,7.731599219,4.22276078,1.529870591,-2.524331471,-0.896491772,-3.711343834,3.164327288,13.32232974,2.480412409,-3.861397184,5.73860807,8.827338397,7.14401959,2.069478564,0.534893125
China,CHN,Real interest rate (%),1.2416394,2.62034423,7.350672131,5.97409667,2.149559564,-2.07731742,3.105961227,2.700243226,-2.772033113,2.52069312,3.451644667,1.804311854,0.41563512,-3.65137209,-7.989744154,-1.412648187,3.354970473,6.911698894,7.356478446,7.204050341,3.710664082,3.72666389,4.679724345,2.638146636,-1.282811705,1.613277503,2.110577726,-0.259570586,-2.305615343,5.531122909,-1.002401214,-1.402428747,3.585203529,3.755387055,4.522308432,4.353072252
Cote d'Ivoire,CIV,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,5.76399145,3.331830896,1.61328996,-0.368943717,3.724734136,3.543389897,-0.428915662,5.465350417,2.343357494,0.891700761,0.361232954
Cameroon,CMR,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
"Congo, Dem. Rep.",COD,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,29.21733254,22.22435169,18.83434227,24.69477027,29.58282582,26.33035023,21.24473863,16.14723359,17.52473816,20.76675035
"Congo, Rep.",COG,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Colombia,COL,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,8.555625926,13.8660468,11.19027451,14.20065914,-5.098230825,15.28657276,11.45805937,8.358405003,14.54666917,19.54132454,20.95820732,14.43888089,23.37814846,14.9195709,-11.13795592,13.33248084,9.775204901,7.823797978,7.270509662,9.36261383,6.697295974,9.67644438,8.821016978,8.594547354,5.372224027,4.542964842,8.655350954,8.90797441,8.442949352,8.785473732
Comoros,COM,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,7.423877939,17.22841609,3.102288969,7.515882486,6.394622004,7.362180946,10.65047544,7.16630934,6.71696605,7.167913859,9.378003615,8.702667146,7.189031131,6.007112113,8.632163033,9.577778504,11.04652171
Cabo Verde,CPV,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,5.891057433,1.654809797,6.222437435,8.614687103,10.48187026,6.948424517,9.295956535,8.963650371,11.05675919,8.521598765
Costa Rica,CRI,Real interest rate (%),-2.63,2.5,-32.12862158,-4.40660921,1.118727632,0.308143301,3.175981005,12.41910814,8.287714677,12.07900235,11.81696709,-15.71773785,7.293129408,17.73455851,15.00413623,12.75093629,9.731995076,6.798727781,9.411567168,13.24650876,14.16902249,12.86156663,15.14732856,13.49781682,8.888553211,10.30188948,8.146284033,2.064435159,3.952220959,9.135716342,9.811593181,11.0452739,12.86966431,10.1329957,8.187917605,9.887063287
Caribbean small states,CSS,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Cuba,CUB,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Curacao,CUW,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Cayman Islands,CYM,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Cyprus,CYP,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Czech Republic,CZE,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,-5.733442027,0.691074504,3.655582504,2.401228774,4.517211187,2.731316454,5.475807484,5.223885319,2.199587603,3.893738237,4.597017352,1.90146356,5.676333044,4.907460739,2.171131434,4.158557505,3.316317307,7.4188898,5.739586037,3.899227454,3.556650498,2.014426432,3.257929511
Germany,DEU,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Djibouti,DJI,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Dominica,DMA,Real interest rate (%),-2.63,2.5,5.223726016,2.785645008,4.741481059,2.623264401,5.061915281,5.2634221,6.467176054,2.628577491,7.798427958,3.312168295,6.836389293,9.002863365,3.689132053,10.6334505,7.907217889,9.589633935,8.51612785,8.640135632,13.70790618,8.870512021,10.10243838,15.09069799,4.961301541,11.53343415,6.97032746,7.528155801,7.44339375,1.866025143,9.13092815,7.036470594,11.22470262,5.317814014,8.989581595,1.729585932
Denmark,DNK,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Dominican Republic,DOM,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,-33.35679961,21.57059656,23.72389426,16.83749661,19.1788932,19.35418227,10.55750858,17.96897087,20.42761914,18.27424,17.18452238,17.89582066,-1.550914208,-8.632955797,17.32624119,12.03451371,7.608970501,8.654014357,14.14294579,6.347720679,6.930587162,9.880588134,8.499705584,9.184329642,12.10554541
Algeria,DZA,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,-7.902165939,-4.04920736,8.136645383,15.1040086,-0.095922629,-10.334378,10.02084082,7.168253864,-0.18991253,-3.784161738,-6.997051366,-2.303736055,1.508207776,-6.339904754,21.56907236,-6.992750804,-8.651090429,0.504068361,8.100862838,8.325605576,15.45325878
East Asia & Pacific (excluding high income),EAP,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Early-demographic dividend,EAR,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
East Asia & Pacific,EAS,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Europe & Central Asia (excluding high income),ECA,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Europe & Central Asia,ECS,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Ecuador,ECU,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
"Egypt, Arab Rep.",EGY,Real interest rate (%),0.802685989,17.58479047,-7.801484773,2.030075188,6.238065866,3.068721728,1.88245858,3.435567132,3.158634199,-0.674911054,1.067535293,3.204638795,1.670924895,9.101241377,7.435419406,4.552157629,7.913220493,3.563452755,10.39189892,11.9358224,8.919600979,11.21451337,10.30003195,6.32702595,1.52690343,6.523640989,4.880796721,-0.077628594,0.107853152,0.710036321,0.818721619,-0.563878053,-6.262719504,3.292157154,0.414129138,1.541068462
Euro area,EMU,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
